,Unnamed: 0,bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1439,71342,2282973139,,,5,3,40,3,2,5010470,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 5, 'post': 3, 'downstream': 40, 'upstream': 3, 'mito': 2, 'dark': 2}, 'LO(R)': {'pre': 5, 'post': 3, 'downstream': 40, 'upstream': 3, 'mito': 2, 'dark': 2}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1440,62746,2089938490,,,29,50,225,50,7,21059175,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 29, 'post': 50, 'downstream': 225, 'upstream': 50, 'mito': 7, 'dark': 7}, 'LO(R)': {'pre': 29, 'post': 50, 'downstream': 225, 'upstream': 50, 'mito': 7, 'dark': 7}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1441,26381,1230903191,AVLP237_b_R,AVLP237_b,151,351,1128,351,101,441154674,Traced,False,Roughly traced,AVL08,341.5,"[2963, 28646, 19824]","{'SNP(R)': {'pre': 21, 'post': 47, 'downstream': 185, 'upstream': 47, 'mito': 7, 'dark': 7}, 'SLP(R)': {'pre': 21, 'post': 47, 'downstream': 185, 'upstream': 47, 'mito': 7, 'dark': 7}, 'INP': {'pre': 21, 'post': 19, 'downstream': 168, 'upstream': 19, 'mito': 7, 'dark': 7}, 'SCL(R)': {'pre': 13, 'post': 14, 'downstream': 98, 'upstream': 14, 'mito': 4, 'dark': 4}, 'ICL(R)': {'pre': 4, 'post': 3, 'downstream': 38, 'upstream': 3, 'mito': 2, 'dark': 2}, 'ICL(L)': {'pre': 4, 'post': 2, 'downstream': 32, 'upstream': 2, 'mito': 1, 'dark': 1}, 'VLNP(R)': {'pre': 109, 'post': 283, 'downstream': 775, 'upstream': 283, 'mito': 71, 'dark': 71}, 'AVLP(R)': {'pre': 105, 'post': 267, 'downstream': 752, 'upstream': 267, 'mito': 66, 'dark': 66}, 'PVLP(R)': {'pre': 4, 'post': 16, 'downstream': 23, 'upstream': 16, 'mito': 5, 'dark': 5}}",,"['AVLP(R)', 'ICL(L)', 'ICL(R)', 'INP', 'PVLP(R)', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'VLNP(R)']","['AVLP(R)', 'ICL(L)', 'ICL(R)', 'INP', 'PVLP(R)', 'SCL(R)', 'SLP(R)', 'SNP(R)', 'VLNP(R)']"
1442,54335,1911529694,,,4,4,14,4,2,1880813,Traced,True,Leaves,,,,"{'LX(L)': {'pre': 4, 'post': 4, 'downstream': 14, 'upstream': 4, 'mito': 2, 'dark': 2}, 'LAL(L)': {'pre': 4, 'post': 4, 'downstream': 14, 'upstream': 4, 'mito': 2, 'dark': 2}}",,"['LAL(L)', 'LX(L)']","['LAL(L)', 'LX(L)']"
1443,270,206322582,,,4,8,32,8,2,9929086,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 4, 'post': 8, 'downstream': 32, 'upstream': 8, 'mito': 2, 'dark': 1, 'medium': 1}, 'SMP(L)': {'pre': 3, 'post': 6, 'downstream': 25, 'upstream': 6, 'mito': 1, 'medium': 1}, 'SIP(L)': {'pre': 1, 'post': 2, 'downstream': 7, 'upstream': 2, 'mito': 1, 'dark': 1}}",,"['SIP(L)', 'SMP(L)', 'SNP(L)']","['SIP(L)', 'SMP(L)', 'SNP(L)']"
1444,69204,2246481393,,,2,12,20,12,1,3443837,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 2, 'post': 12, 'downstream': 20, 'upstream': 12, 'mito': 1, 'dark': 1}, 'LO(R)': {'pre': 2, 'post': 12, 'downstream': 20, 'upstream': 12, 'mito': 1, 'dark': 1}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1445,53994,1907122816,,,62,59,401,59,19,31172176,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 62, 'post': 59, 'downstream': 401, 'upstream': 59, 'mito': 19, 'dark': 19}, 'LO(R)': {'pre': 62, 'post': 59, 'downstream': 401, 'upstream': 59, 'mito': 19, 'dark': 19}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1446,30231,1347130617,,,42,22,214,22,8,26031636,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 42, 'post': 22, 'downstream': 214, 'upstream': 22, 'mito': 8, 'dark': 8}, 'LO(R)': {'pre': 42, 'post': 22, 'downstream': 214, 'upstream': 22, 'mito': 8, 'dark': 8}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1447,29200,1315779239,,,31,30,252,30,11,30711042,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 31, 'post': 30, 'downstream': 252, 'upstream': 30, 'mito': 11, 'dark': 11}, 'LO(R)': {'pre': 31, 'post': 30, 'downstream': 252, 'upstream': 30, 'mito': 11, 'dark': 11}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1448,75016,2350667315,,,35,214,180,214,15,58795826,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 35, 'post': 214, 'downstream': 180, 'upstream': 214, 'mito': 15, 'dark': 15}, 'AL-V(R)': {'pre': 34, 'post': 201, 'downstream': 175, 'upstream': 201, 'mito': 13, 'dark': 13}, 'AL-VP5(R)': {'pre': 1, 'post': 13, 'downstream': 5, 'upstream': 13, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-V(R)', 'AL-VP5(R)']","['AL(R)', 'AL-V(R)', 'AL-VP5(R)']"
